               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07817,             0.04355,            0.013998,             0.47672,             0.22736,             0.13456,            0.046308,            0.068258,            0.021328,           0.0043749,            0.070169,           0.0033145,           0.0033145
                   1,            0.062551,             0.03971,           0.0039819,              0.4592,             0.24468,             0.22373,            0.084527,            0.063924,            0.021996,           0.0024847,            0.040159,           0.0066369,           0.0066369
                   2,            0.058912,            0.040866,           0.0028285,             0.31517,             0.17054,             0.13129,            0.047547,             0.06795,            0.025597,            0.011323,            0.010137,           0.0099482,           0.0099482
                   3,            0.057592,            0.042497,           0.0024657,             0.35278,             0.18403,             0.15581,            0.059121,            0.064245,            0.025499,           0.0075299,           0.0099505,           0.0099505,           0.0099505
                   4,            0.055963,            0.041444,            0.001997,             0.36032,             0.27579,              0.2415,            0.090659,            0.060571,            0.024275,           0.0022654,           0.0099505,           0.0099505,           0.0099505
                   5,            0.055402,            0.041504,            0.001735,             0.46599,             0.34254,             0.34853,             0.13706,            0.058294,            0.023439,          0.00082751,            0.009934,            0.009934,            0.009934
                   6,            0.054236,            0.041115,           0.0015527,             0.50529,             0.34263,             0.32909,             0.12775,            0.056672,            0.023574,           0.0022237,           0.0099175,           0.0099175,           0.0099175
                   7,            0.053687,            0.041128,           0.0015487,             0.34125,             0.26864,             0.23476,            0.092667,            0.059202,            0.024456,           0.0039686,            0.009901,            0.009901,            0.009901
                   8,            0.053425,            0.041134,           0.0013417,             0.54974,             0.44011,             0.43487,             0.17709,            0.054362,            0.022595,          0.00081566,           0.0098845,           0.0098845,           0.0098845
                   9,             0.05269,            0.040532,           0.0013086,             0.49821,             0.43797,             0.42395,             0.17474,            0.054627,            0.022842,           0.0010143,            0.009868,            0.009868,            0.009868
                  10,            0.052479,            0.040238,           0.0012953,             0.48152,             0.48684,              0.4432,             0.18524,            0.053993,            0.022312,          0.00058485,           0.0098515,           0.0098515,           0.0098515
                  11,            0.051812,            0.039955,           0.0012565,             0.47968,                0.41,             0.39501,              0.1653,            0.054798,            0.023306,           0.0016094,            0.009835,            0.009835,            0.009835
                  12,            0.051523,            0.039647,           0.0011574,              0.4902,             0.45043,             0.42075,             0.17814,            0.055196,            0.023199,           0.0019365,           0.0098185,           0.0098185,           0.0098185
                  13,             0.05146,            0.039694,           0.0011597,             0.51899,              0.4538,             0.44929,               0.188,            0.053636,            0.023065,           0.0006779,            0.009802,            0.009802,            0.009802
                  14,            0.051557,            0.039849,           0.0010916,              0.4819,             0.45499,             0.42947,             0.18986,            0.053676,            0.022708,          0.00071553,           0.0097855,           0.0097855,           0.0097855
                  15,            0.051518,                0.04,           0.0010557,             0.48961,             0.46364,             0.44696,             0.18612,            0.053514,            0.022818,          0.00039008,            0.009769,            0.009769,            0.009769
                  16,            0.050771,            0.039674,           0.0010918,             0.50598,             0.42965,             0.44078,             0.19129,            0.053484,            0.022662,          0.00045525,           0.0097525,           0.0097525,           0.0097525
                  17,            0.050648,            0.038267,           0.0010408,             0.49278,             0.48165,              0.4507,             0.19476,            0.053278,            0.022553,          0.00055182,            0.009736,            0.009736,            0.009736
                  18,             0.05081,            0.039287,          0.00097418,             0.50665,             0.43091,             0.43177,             0.18582,            0.054519,            0.023174,          0.00090373,           0.0097195,           0.0097195,           0.0097195
                  19,            0.050684,            0.039225,           0.0009511,              0.4946,             0.46084,             0.44714,             0.19307,            0.053141,            0.022503,          0.00052415,            0.009703,            0.009703,            0.009703
                  20,            0.050294,              0.0389,           0.0009234,              0.5504,             0.48139,             0.49143,             0.20976,            0.052579,            0.022311,          0.00040489,           0.0096865,           0.0096865,           0.0096865
                  21,            0.049945,            0.038791,           0.0010461,             0.51844,             0.50875,             0.47464,             0.20424,            0.053242,            0.022641,          0.00038086,             0.00967,             0.00967,             0.00967
                  22,            0.050259,            0.038639,           0.0010017,             0.52127,             0.50811,             0.49205,             0.22054,            0.052725,            0.022299,          0.00041699,           0.0096535,           0.0096535,           0.0096535
                  23,            0.049794,            0.039578,          0.00096924,             0.49398,             0.48288,             0.46235,             0.19899,            0.053027,            0.022566,          0.00046826,            0.009637,            0.009637,            0.009637
